iter	Passed	Remaining
0	0	50
1	1	52
2	1	47
3	1	43
4	2	41
5	2	41
6	3	40
7	3	39
8	3	39
9	4	38
10	4	37
11	5	37
12	5	36
13	5	36
14	6	35
15	6	35
16	7	37
17	8	36
18	8	36
19	8	35
20	9	34
21	9	34
22	10	33
23	10	33
24	10	32
25	11	32
26	11	32
27	12	31
28	12	31
29	13	31
30	13	30
31	14	30
32	14	30
33	15	29
34	15	28
35	15	28
36	16	27
37	16	27
38	17	27
39	17	26
40	18	26
41	18	25
42	18	24
43	19	24
44	19	23
45	19	23
46	20	22
47	20	22
48	21	22
49	21	21
50	22	21
51	22	20
52	22	20
53	23	19
54	23	19
55	23	18
56	24	18
57	25	18
58	25	17
59	25	17
60	26	16
61	26	16
62	27	15
63	27	15
64	27	15
65	28	14
66	28	14
67	29	13
68	29	13
69	29	12
70	30	12
71	30	11
72	31	11
73	31	11
74	32	10
75	32	10
76	32	9
77	33	9
78	33	9
79	34	8
80	34	8
81	35	7
82	35	7
83	36	6
84	36	6
85	36	6
86	37	5
87	37	5
88	38	4
89	38	4
90	38	3
91	39	3
92	39	2
93	40	2
94	40	2
95	40	1
96	41	1
97	41	0
98	42	0
99	42	0
